"iso3";"iso2";"country_en";"country";"medical";"social";"economic";"TOTAL";"place_total"
"AUS";"AU";"Australia";"Австралия";86,0547848655454;85,6513038946701;63,5899790896735;77,678213365793;1
"AUT";"AT";"Austria";"Австрия";75,3584049554285;77,3911963836392;58,3293860194066;69,8077361791915;6
"DZA";"DZ";"Algeria";"Алжир";69,5499508786389;28,7218536338964;24,2978111794524;36,4775349049035;38
"ARG";"AR";"Argentina";"Аргентина";63,6711401659483;63,9166255647487;19,1037668723306;42,6800734747437;34
"ARM";"AM";"Armenia";"Армения";38,3395547546441;54,8780419189807;32,6831847719235;40,9691242311465;36
"BGD";"BD";"Bangladesh";"Бангладеш";63,7625100480592;67,2276900689388;17,7568235892615;42,3798704471038;35
"BLR";"BY";"Belarus";"Белоруссия";70,0519988285575;61,7909445868309;31,9546877120532;51,716204947992;25
"BEL";"BE";"Belgium";"Бельгия";52,1110133125263;86,1272048874085;51,2400650212431;61,2669857977938;14
"BRA";"BR";"Brazil";"Бразилия";31,498288725449;66,3812443885118;57,2153152777895;49,2736666985546;27
"GBR";"GB";"United Kingdom";"Великобритания";62,6745070813936;79,6451064371161;47,6061300920486;61,9399667224024;12
"GHA";"GH";"Ghana";"Гана";66,0284046364462;31,5352069338497;15,3014061438948;31,7019476149336;42
"DEU";"DE";"Germany";"Германия";75,1319374776545;91,3802219425321;57,6292897051433;73,4130647166005;5
"EGY";"EG";"Egypt";"Египет";65,3327462628478;26,990004001959;14,253687480902;29,2923151864208;44
"ISR";"IL";"Israel";"Израиль";65,5271214060215;76,6225047816594;30,3180370506812;53,3940468302279;23
"IND";"IN";"India";"Индия";65,4795246945437;68,2837622451824;23,3743330089826;47,1035958717341;31
"IDN";"ID";"Indonesia";"Индонезия";67,1439322142722;73,3596231065362;27,5462335514082;51,3856707052676;26
"IRQ";"IQ";"Iraq";"Ирак";56,6033068742807;17,9464680127405;12,7989615041598;23,5142884882444;48
"IRN";"IR";"Iran";"Иран";59,9735868924738;52,7135374031961;35,6310626573979;48,2951648986126;28
"ESP";"ES";"Spain";"Испания";51,4310131819073;76,536961127428;47,1763277241988;57,0523418087159;20
"ITA";"IT";"Italy";"Италия";59,699218071751;66,7511482480185;52,7090995615508;59,4434937610466;17
"KAZ";"KZ";"Kazakhstan";"Казахстан";70,9457648699013;47,9051513075377;31,3729395679969;47,4192449832194;29
"CAN";"CA";"Canada";"Канада";68,2245242706217;59,4285659798694;61,8380468544482;63,0565942364748;10
"CHN";"CN";"China";"Китай";78,9817484541564;73,6068079758666;37,8762736313618;60,386147647778;15
"COL";"CO";"Colombia";"Колумбия";52,679938651778;43,5451423418178;21,2024949158291;36,5026152579804;37
"MYS";"MY";"Malaysia";"Малайзия";71,7303155173116;70,6282242742488;46,2536506263364;61,6513155253169;13
"MAR";"MA";"Morocco";"Марокко";68,9366820802248;10;21,4154590834423;24,5316026690279;45
"MEX";"MX";"Mexico";"Мексика";52,8424936473301;60,9206397045465;24,7956339676364;43,0567248637299;32
"NGA";"NG";"Nigeria";"Нигерия";67,093295516844;26,393813372583;21,4194546556691;33,5992738687055;40
"NLD";"NL";"Netherlands";"Нидерланды";61,7554433949379;79,267775066197;49,328627821121;62,2716417561015;11
"PAK";"PK";"Pakistan";"Пакистан";63,9159905494559;49,2029257882909;25,3082990032612;43,0151197533525;33
"PER";"PE";"Peru";"Перу";35,4446520113215;26,0359539447336;14,4737022385089;23,7265511827674;47
"POL";"PL";"Poland";"Польша";75,1975117938427;84,5689379988166;66,0533838882195;74,8921800724112;2
"PRT";"PT";"Portugal";"Португалия";73,1044075375175;70,1072426804786;41,3530278216511;59,6217319026938;16
"RUS";"RU";"Russia";"Россия";76,7850909080019;71,7095470997885;56,7484913613095;67,8582623235346;7
"ROU";"RO";"Romania";"Румыния";72,232578567555;73,2668023280262;33,9615667163031;56,4342413316676;21
"SAU";"SA";"Saudi Arabia";"Саудовская Аравия";54,6256315357658;29,3257003413852;22,7967860964538;33,1771820539411;41
"USA";"US";"United States";"США";43,6836481138554;60,3676270561623;73,7003793823655;57,92475996483;18
"TUR";"TR";"Turkey";"Турция";65,2072475403244;54,7282490270522;53,8185914826924;57,6961166627451;19
"UKR";"UA";"Ukraine";"Украина";70,5594580887549;57,6077028006735;37,3668358615514;53,3548667303578;24
"PHL";"PH";"Philippines";"Филиппины";67,429084929243;55,9702682625795;27,6985385463045;47,1071868545101;30
"FRA";"FR";"France";"Франция";60,574473272818;81,9690786769871;60,5205949299861;66,9803834645111;8
"CZE";"CZ";"Czechia";"Чехия";77,860288355007;76,6493390638495;66,7417831063838;73,5767740616948;4
"CHL";"CL";"Chile";"Чили";18,4164303439576;55,7334900563972;13,5236205021046;24,0328286398745;46
"SWE";"SE";"Sweden";"Швеция";50,5702589315625;90,6464870255935;57,0296549124901;63,9414233606728;9
"ECU";"EC";"Ecuador";"Эквадор";51,3005087648284;29,9715731516762;18,6859958357759;30,6278012062129;43
"ZAF";"ZA";"South Africa";"Южная Африка";42,7313655321688;31,5555760150306;28,9448788208979;33,9207052468575;39
"KOR";"KR";"South Korea";"Южная Корея";78,0228170472311;80,7212178855888;28,4860699029304;56,4001972275211;22
"JPN";"JP";"Japan";"Япония";78,0163185827499;79,3478820323163;66,1925833330401;74,2751220818472;3
