"country";"country_en";"iso3";"testing_score";"testing_ranking";"tests.(per.100.thousand)";"testing_score2"
"Великобритания";"United Kingdom";"GBR";100;1;17015,0786353795;100
"Россия";"Russia";"RUS";90,1015874071747;2;15339,8184004086;90,1015874071747
"Израиль";"Israel";"ISR";80,8206515174632;3;13769,0632218845;80,8206515174632
"Португалия";"Portugal";"PRT";75,742574532027;4;12909,6223404255;75,742574532027
"США";"United States";"USA";72,6029923406393;5;12378,2626753953;72,6029923406393
"Испания";"Spain";"ESP";71,9185162762767;6;12262,4182890694;71,9185162762767
"Белоруссия";"Belarus";"BLR";69,338017279243;7;11825,6808510638;69,338017279243
"Австралия";"Australia";"AUS";68,4010556380521;8;11667,1044566713;68,4010556380521
"Бельгия";"Belgium";"BEL";68,2712600501614;9;11645,1371578717;68,2712600501614
"Италия";"Italy";"ITA";56,6628072512339;10;9680,46058158145;56,6628072512339
"Казахстан";"Kazakhstan";"KAZ";51,0731483430432;11;8734,43684210526;51,0731483430432
"Канада";"Canada";"CAN";48,7194217392961;12;8336,07957559682;48,7194217392961
"Германия";"Germany";"DEU";44,4550435177381;13;7614,35342057371;44,4550435177381
"Австрия";"Austria";"AUT";44,2875330074222;14;7586,00304678999;44,2875330074222
"Франция";"France";"FRA";40,8250859101324;15;7000;40,8250859101324
"Чили";"Chile";"CHL";38,3198656816748;16;6576,00314300681;38,3198656816748
"Саудовская Аравия";"Saudi Arabia";"SAU";36,930569035055;17;6340,87115544472;36,930569035055
"Китай";"China";"CHN";36,8745374050476;18;6331,38806300219;36,8745374050476
"Швеция";"Sweden";"SWE";34,5370791049659;19;5935,78413112852;34,5370791049659
"Перу";"Peru";"PER";32,6327796285638;20;5613,49031296572;32,6327796285638
"Чехия";"Czechia";"CZE";31,9996854720265;21;5506,34207525656;31,9996854720265
"Турция";"Turkey";"TUR";26,7300667865605;22;4614,48365306674;26,7300667865605
"Польша";"Poland";"POL";26,1504492283457;23;4516,38608058608;26,1504492283457
"Армения";"Armenia";"ARM";25,5623502736775;24;4416,85307125307;25,5623502736775
"Румыния";"Romania";"ROU";24,6235768512425;25;4257,97004132231;24,6235768512425
"Нидерланды";"Netherlands";"NLD";22,9916433431267;26;3981,77289489859;22,9916433431267
"Южная Африка";"South Africa";"ZAF";19,9457596958761;27;3466,27127211457;19,9457596958761
"Южная Корея";"South Korea";"KOR";15,4368008251573;28;2703,15098121967;15,4368008251573
"Малайзия";"Malaysia";"MYS";14,7994016427544;29;2595,27413793103;14,7994016427544
"Марокко";"Morocco";"MAR";13,1930095153257;30;2323,39975124378;13,1930095153257
"Иран";"Iran";"IRN";13,0032106351073;31;2291,2771746498;13,0032106351073
"Бразилия";"Brazil";"BRA";11,7631441122249;32;2081,40169057377;11,7631441122249
"Алжир";"Algeria";"DZA";11,2821755425468;33;2000;11,2821755425468
"Колумбия";"Colombia";"COL";10,7589356149114;34;1911,44407894737;10,7589356149114
"Украина";"Ukraine";"UKR";9,73971695625821;35;1738,94606741573;9,73971695625821
"Ирак";"Iraq";"IRQ";9,50045779842925;36;1698,45256916996;9,50045779842925
"Египет";"Egypt";"EGY";7,25843115048161;37;1319;7,25843115048161
"Гана";"Ghana";"GHA";6,23075691806363;38;1145,07092198582;6,23075691806363
"Эквадор";"Ecuador";"ECU";5,29943865727176;39;987,449643444871;5,29943865727176
"Аргентина";"Argentina";"ARG";5,12117249806287;40;957,278926174497;5,12117249806287
"Филиппины";"Philippines";"PHL";4,60829742980145;41;870,477209302325;4,60829742980145
"Индия";"India";"IND";4,08480642333173;42;781,878794326241;4,08480642333173
"Пакистан";"Pakistan";"PAK";3,65595719879466;43;709,298060200669;3,65595719879466
"Мексика";"Mexico";"MEX";2,92582860962621;44;585,72719665272;2,92582860962621
"Бангладеш";"Bangladesh";"BGD";2,86714341053331;45;575,795;2,86714341053331
"Япония";"Japan";"JPN";1,91686111258924;46;414,964146485529;1,91686111258924
"Индонезия";"Indonesia";"IDN";1,54335488408939;47;351,749956709957;1,54335488408939
"Нигерия";"Nigeria";"NGA";0;48;90,5443298969072;0
