"iso2";"country";"base.month";"t";"t+1";"t+2";"t+3";"t+4";"t+5";"growth";"rank"
"AU";"Австралия";"2020M02";44,3;53,7;35,8;42,8;49,8;NA;1,12415349887133;100
"AT";"Австрия";"2020M02";50,2;45,8;31,6;40,4;46,5;NA;0,926294820717131;46,6374107553411
"BR";"Бразилия";"2020M02";52,3;48,4;36;38,3;51,6;NA;0,986615678776291;62,9059778029167
"GB";"Великобритания";"2020M02";51,7;47,8;32,6;40,7;50,1;NA;0,969052224371373;58,1691049405776
"DE";"Германия";"2020M02";48;45,4;34,5;36,6;45,2;NA;0,941666666666667;50,7832056681017
"IN";"Индия";"2020M02";54,5;51,8;27,4;30,8;47,2;NA;0,86605504587156;30,3907118929857
"ID";"Индонезия";"2020M02";51,9;45,3;27,5;28,6;39,1;NA;0,753371868978805;0
"ES";"Испания";"2020M02";50,4;45,7;30,8;38,3;49;NA;0,972222222222222;59,0240550231283
"IT";"Италия";"2020M01";48,9;48,7;40,3;31,1;45,4;47,5;0,928425357873211;47,212017743475
"CA";"Канада";"2020M02";51,8;46,1;33;40,6;47,8;NA;0,922779922779923;45,6894409386521
"CN";"Китай";"2019M12";51,5;51,1;40,3;50,1;49,4;50,7;0,959223300970874;55,518239145703
"MY";"Малайзия";"2020M02";48,5;48,4;31,3;45,6;51;NA;1,05154639175258;80,417825138802
"MX";"Мексика";"2020M02";50;47,9;35;38,3;38,6;NA;0,772;5,02401670400824
"NL";"Нидерланды";"2020M02";52,9;50,5;41,3;40,5;45,2;NA;0,854442344045369;27,2587601213844
"PL";"Польша";"2020M02";48,2;42,4;31,9;40,6;47,2;NA;0,979253112033195;60,9202896917689
"RU";"Россия";"2020M02";48,2;47,5;31,3;36,2;49,4;NA;1,02489626556017;73,2302721308129
"US";"США";"2020M02";50,1;49,1;41,5;43,1;52,6;NA;1,0499001996008;79,9738462522924
"TR";"Турция";"2020M02";52,4;48,1;33,4;40,9;53,9;NA;1,02862595419847;74,2361711122129
"PH";"Филиппины";"2020M02";52,3;39,7;31,6;40,1;49,7;NA;0,950286806883365;53,1080620044842
"FR";"Франция";"2020M02";49,8;43,2;31,5;40,3;52,1;NA;1,04618473895582;78,9717845681545
"CZ";"Чехия";"2020M02";46,5;41,3;35,1;39,6;44,9;NA;0,965591397849462;57,2357182129466
"KR";"Южная Корея";"2020M01";49,8;48,7;44,2;41,6;41,3;43,4;0,829317269076305;20,4825142279872
"JP";"Япония";"2020M02";47,8;44,2;41,9;38,4;40,1;NA;0,838912133891213;23,0702542996001
