"Названия.строк";"mobility_change";"mobility_rank"
"AR";-39,1;4,27631578947369
"AT";5,9;78,2894736842105
"AU";-11,6;49,5065789473684
"BD";-19;37,3355263157895
"BE";0,2;68,9144736842105
"BR";-18,2;38,6513157894737
"BY";6,4;79,1118421052632
"CA";12,1;88,4868421052632
"CL";-41,7;0
"CO";-27,7;23,0263157894737
"CZ";11,7;87,8289473684211
"DE";7,9;81,5789473684211
"EC";-25,6;26,4802631578947
"EG";-11,2;50,1644736842105
"ES";-5;60,3618421052632
"FR";8,1;81,9078947368421
"GB";-14,4;44,9013157894737
"GH";-3,8;62,3355263157895
"ID";-13,3;46,7105263157895
"IL";-5,8;59,046052631579
"IN";-28,1;22,3684210526316
"IQ";-21,5;33,2236842105263
"IT";0,6;69,5723684210526
"JP";-9,6;52,796052631579
"KR";6,4;79,1118421052632
"KZ";-8,6;54,4407894736842
"MA";-10,9;50,6578947368421
"MX";-25,5;26,6447368421053
"MY";-10,1;51,9736842105263
"NG";-10,8;50,8223684210526
"NL";5,6;77,7960526315789
"PE";-35,6;10,0328947368421
"PH";-29,8;19,5723684210526
"PK";-14,6;44,5723684210526
"PL";14,4;92,2697368421053
"PT";-6,2;58,3881578947368
"RO";-4,2;61,6776315789474
"RU";7,5;80,9210526315789
"SA";-19,3;36,8421052631579
"SE";19,1;100
"TR";2,5;72,6973684210526
"UA";8,7;82,8947368421053
"US";-1,6;65,9539473684211
"ZA";-18,8;37,6644736842105
